fov_id,tile_index,x,y,predicted_probability
2 (1).jpg,0,0,0,0.12255621701478958
2 (1).jpg,1,256,0,0.39009782671928406
2 (1).jpg,2,512,0,0.16579288244247437
2 (1).jpg,3,768,0,0.4878760278224945
2 (1).jpg,4,1024,0,0.17156082391738892
2 (1).jpg,5,1280,0,0.06646787375211716
2 (1).jpg,6,1536,0,0.6970643997192383
2 (1).jpg,7,1792,0,0.378743976354599
2 (1).jpg,8,1930,0,0.03979063034057617
2 (1).jpg,9,0,256,0.008853980340063572
2 (1).jpg,10,256,256,0.05098966881632805
2 (1).jpg,11,512,256,0.38894981145858765
2 (1).jpg,12,768,256,0.4928298890590668
2 (1).jpg,13,1024,256,0.42511099576950073
2 (1).jpg,14,1280,256,0.2654784619808197
2 (1).jpg,15,1536,256,0.47854581475257874
2 (1).jpg,16,1792,256,0.3681124448776245
2 (1).jpg,17,1930,256,0.025305630639195442
2 (1).jpg,18,0,512,0.05518396943807602
2 (1).jpg,19,256,512,0.058981698006391525
2 (1).jpg,20,512,512,0.3642425239086151
2 (1).jpg,21,768,512,0.36515381932258606
2 (1).jpg,22,1024,512,0.25312355160713196
2 (1).jpg,23,1280,512,0.20566971600055695
2 (1).jpg,24,1536,512,0.7507357001304626
2 (1).jpg,25,1792,512,0.8464661240577698
2 (1).jpg,26,1930,512,0.10205972194671631
2 (1).jpg,27,0,768,0.19873324036598206
2 (1).jpg,28,256,768,0.09088529646396637
2 (1).jpg,29,512,768,0.29250290989875793
2 (1).jpg,30,768,768,0.24762804806232452
2 (1).jpg,31,1024,768,0.4060989320278168
2 (1).jpg,32,1280,768,0.46612870693206787
2 (1).jpg,33,1536,768,0.7567981481552124
2 (1).jpg,34,1792,768,0.6815165877342224
2 (1).jpg,35,1930,768,0.35360607504844666
2 (1).jpg,36,0,1024,0.06338794529438019
2 (1).jpg,37,256,1024,0.057217784225940704
2 (1).jpg,38,512,1024,0.11697251349687576
2 (1).jpg,39,768,1024,0.359490305185318
2 (1).jpg,40,1024,1024,0.378793329000473
2 (1).jpg,41,1280,1024,0.22642216086387634
2 (1).jpg,42,1536,1024,0.04294183850288391
2 (1).jpg,43,1792,1024,0.12360673397779465
2 (1).jpg,44,1930,1024,0.32056429982185364
2 (1).jpg,45,0,1280,0.2057298868894577
2 (1).jpg,46,256,1280,0.41022926568984985
2 (1).jpg,47,512,1280,0.19568930566310883
2 (1).jpg,48,768,1280,0.5710185766220093
2 (1).jpg,49,1024,1280,0.71360182762146
2 (1).jpg,50,1280,1280,0.07170670479536057
2 (1).jpg,51,1536,1280,0.08597838133573532
2 (1).jpg,52,1792,1280,0.03116500750184059
2 (1).jpg,53,1930,1280,0.08196911215782166
2 (1).jpg,54,0,1530,0.05415996536612511
2 (1).jpg,55,256,1530,0.21511541306972504
2 (1).jpg,56,512,1530,0.06280434876680374
2 (1).jpg,57,768,1530,0.03328763321042061
2 (1).jpg,58,1024,1530,0.1488916575908661
2 (1).jpg,59,1280,1530,0.26895421743392944
2 (1).jpg,60,1536,1530,0.265090674161911
2 (1).jpg,61,1792,1530,0.02901151403784752
2 (1).jpg,62,1930,1530,0.011397581547498703
2 (10).jpg,0,0,0,0.1398274004459381
2 (10).jpg,1,256,0,0.3734785318374634
2 (10).jpg,2,512,0,0.41845348477363586
2 (10).jpg,3,768,0,0.31381672620773315
2 (10).jpg,4,1024,0,0.33197876811027527
2 (10).jpg,5,1280,0,0.5961627960205078
2 (10).jpg,6,1536,0,0.4385046660900116
2 (10).jpg,7,1792,0,0.29125362634658813
2 (10).jpg,8,1930,0,0.23558196425437927
2 (10).jpg,9,0,256,0.07842089235782623
2 (10).jpg,10,256,256,0.4526273310184479
2 (10).jpg,11,512,256,0.6388171315193176
2 (10).jpg,12,768,256,0.4812408983707428
2 (10).jpg,13,1024,256,0.34953567385673523
2 (10).jpg,14,1280,256,0.5957245826721191
2 (10).jpg,15,1536,256,0.8376947045326233
2 (10).jpg,16,1792,256,0.89656662940979
2 (10).jpg,17,1930,256,0.7276418805122375
2 (10).jpg,18,0,512,0.10474660247564316
2 (10).jpg,19,256,512,0.296819806098938
2 (10).jpg,20,512,512,0.5165647268295288
2 (10).jpg,21,768,512,0.6087576746940613
2 (10).jpg,22,1024,512,0.5725849866867065
2 (10).jpg,23,1280,512,0.6458462476730347
2 (10).jpg,24,1536,512,0.7213553190231323
2 (10).jpg,25,1792,512,0.7719946503639221
2 (10).jpg,26,1930,512,0.7647507190704346
2 (10).jpg,27,0,768,0.8272632956504822
2 (10).jpg,28,256,768,0.4310450851917267
2 (10).jpg,29,512,768,0.6626861095428467
2 (10).jpg,30,768,768,0.6440242528915405
2 (10).jpg,31,1024,768,0.5497470498085022
2 (10).jpg,32,1280,768,0.8128730058670044
2 (10).jpg,33,1536,768,0.7653969526290894
2 (10).jpg,34,1792,768,0.6533174514770508
2 (10).jpg,35,1930,768,0.759213924407959
2 (10).jpg,36,0,1024,0.8666504621505737
2 (10).jpg,37,256,1024,0.760138213634491
2 (10).jpg,38,512,1024,0.5561692118644714
2 (10).jpg,39,768,1024,0.4041473865509033
2 (10).jpg,40,1024,1024,0.10175023972988129
2 (10).jpg,41,1280,1024,0.4618300795555115
2 (10).jpg,42,1536,1024,0.8178666830062866
2 (10).jpg,43,1792,1024,0.8237055540084839
2 (10).jpg,44,1930,1024,0.6912196278572083
2 (10).jpg,45,0,1280,0.34013429284095764
2 (10).jpg,46,256,1280,0.4413081109523773
2 (10).jpg,47,512,1280,0.516834557056427
2 (10).jpg,48,768,1280,0.7353118062019348
2 (10).jpg,49,1024,1280,0.6513351202011108
2 (10).jpg,50,1280,1280,0.44491881132125854
2 (10).jpg,51,1536,1280,0.4525964856147766
2 (10).jpg,52,1792,1280,0.4481448531150818
2 (10).jpg,53,1930,1280,0.48698553442955017
2 (10).jpg,54,0,1530,0.1558404415845871
2 (10).jpg,55,256,1530,0.1291213482618332
2 (10).jpg,56,512,1530,0.45855477452278137
2 (10).jpg,57,768,1530,0.733714759349823
2 (10).jpg,58,1024,1530,0.9146661162376404
2 (10).jpg,59,1280,1530,0.8030810356140137
2 (10).jpg,60,1536,1530,0.3153032660484314
2 (10).jpg,61,1792,1530,0.1883580982685089
2 (10).jpg,62,1930,1530,0.19759634137153625
2 (11).jpg,0,0,0,0.7407566905021667
2 (11).jpg,1,256,0,0.7805383205413818
2 (11).jpg,2,512,0,0.8958322405815125
2 (11).jpg,3,768,0,0.7315841913223267
2 (11).jpg,4,1024,0,0.655892014503479
2 (11).jpg,5,1280,0,0.7400602698326111
2 (11).jpg,6,1536,0,0.7175905108451843
2 (11).jpg,7,1792,0,0.32936179637908936
2 (11).jpg,8,1930,0,0.3582243025302887
2 (11).jpg,9,0,256,0.8926037549972534
2 (11).jpg,10,256,256,0.8767526745796204
2 (11).jpg,11,512,256,0.6572480201721191
2 (11).jpg,12,768,256,0.38810110092163086
2 (11).jpg,13,1024,256,0.5670741200447083
2 (11).jpg,14,1280,256,0.585041344165802
2 (11).jpg,15,1536,256,0.7188034057617188
2 (11).jpg,16,1792,256,0.49507877230644226
2 (11).jpg,17,1930,256,0.38478127121925354
2 (11).jpg,18,0,512,0.8192999958992004
2 (11).jpg,19,256,512,0.8896641731262207
2 (11).jpg,20,512,512,0.7839993238449097
2 (11).jpg,21,768,512,0.5043009519577026
2 (11).jpg,22,1024,512,0.4729745090007782
2 (11).jpg,23,1280,512,0.5513030886650085
2 (11).jpg,24,1536,512,0.5593045949935913
2 (11).jpg,25,1792,512,0.28100690245628357
2 (11).jpg,26,1930,512,0.2920128405094147
2 (11).jpg,27,0,768,0.19143566489219666
2 (11).jpg,28,256,768,0.5310161113739014
2 (11).jpg,29,512,768,0.6539952754974365
2 (11).jpg,30,768,768,0.7079625129699707
2 (11).jpg,31,1024,768,0.4367307424545288
2 (11).jpg,32,1280,768,0.45580896735191345
2 (11).jpg,33,1536,768,0.2720354199409485
2 (11).jpg,34,1792,768,0.5266440510749817
2 (11).jpg,35,1930,768,0.5704653263092041
2 (11).jpg,36,0,1024,0.22882187366485596
2 (11).jpg,37,256,1024,0.4215552806854248
2 (11).jpg,38,512,1024,0.5998185276985168
2 (11).jpg,39,768,1024,0.8139513731002808
2 (11).jpg,40,1024,1024,0.5405145287513733
2 (11).jpg,41,1280,1024,0.6383678317070007
2 (11).jpg,42,1536,1024,0.4722045361995697
2 (11).jpg,43,1792,1024,0.6902468204498291
2 (11).jpg,44,1930,1024,0.5747833847999573
2 (11).jpg,45,0,1280,0.18416479229927063
2 (11).jpg,46,256,1280,0.29135966300964355
2 (11).jpg,47,512,1280,0.1623816341161728
2 (11).jpg,48,768,1280,0.5532562732696533
2 (11).jpg,49,1024,1280,0.6906538009643555
2 (11).jpg,50,1280,1280,0.5884517431259155
2 (11).jpg,51,1536,1280,0.473184734582901
2 (11).jpg,52,1792,1280,0.32170674204826355
